chrom	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr15	76195868	76196867	1000	*	80.36515	0.7032616	0.26849064	2.619315	8.810648e-03	1.471480e-01
chr9	134322492	134322884	393	*	39.28161	-1.0099047	0.38567456	-2.618541	8.830662e-03	1.473756e-01
chr1	156470273	156471319	1047	*	176.59308	0.4276970	0.16360932	2.614136	8.945347e-03	1.485378e-01
chr10	103824708	103825861	1154	*	189.09145	0.5399272	0.20715026	2.606452	9.148568e-03	1.507196e-01
chr7	74541013	74541518	506	*	13.32786	-1.7904551	0.68798144	-2.602476	9.255333e-03	1.516666e-01
chr8	79716596	79717454	859	*	18.51489	-1.5780927	0.60728173	-2.598617	9.360012e-03	1.528394e-01
chr1	117602314	117603507	1194	*	218.11326	0.4824239	0.18569229	2.597975	9.377539e-03	1.530173e-01
chr20	32580746	32582428	1683	*	463.84432	0.2950230	0.11359286	2.597196	9.398818e-03	1.532562e-01
chr2	219610373	219611153	781	*	482.37069	0.2894830	0.11146572	2.597059	9.402578e-03	1.532634e-01
chr13	99629981	99630700	720	*	95.72367	0.6507421	0.25071843	2.595510	9.445073e-03	1.535764e-01
chr8	38853767	38854565	799	*	199.18738	0.4395524	0.16938903	2.594928	9.461062e-03	1.537281e-01
chr13	49549686	49550977	1292	*	117.42457	0.6470939	0.24940466	2.594554	9.471365e-03	1.537332e-01
chr7	21466625	21468092	1468	*	619.55487	0.2830163	0.10908647	2.594421	9.475028e-03	1.537386e-01
chr20	36846179	36846575	397	*	13.04157	-1.9491071	0.75171236	-2.592890	9.517334e-03	1.542187e-01
chr21	43187071	43187667	597	*	47.35634	1.0189012	0.39305944	2.592232	9.535547e-03	1.543793e-01
chr19	13001483	13002222	740	*	188.46014	0.4509056	0.17399850	2.591434	9.557688e-03	1.544284e-01
chr7	5085213	5085971	759	*	82.03218	0.7030273	0.27131161	2.591217	9.563713e-03	1.544717e-01
chr11	65378565	65379567	1003	*	144.04087	0.5125109	0.19786742	2.590173	9.592763e-03	1.547784e-01
chr20	20693066	20693743	678	*	145.93602	0.5064718	0.19619873	2.581423	9.839407e-03	1.573966e-01
chr11	77705553	77706278	726	*	474.70649	0.3070908	0.11898993	2.580813	9.856785e-03	1.573966e-01
chr7	134576019	134576708	690	*	162.01048	0.5397890	0.20918427	2.580448	9.867232e-03	1.573966e-01
chr1	249200225	249201250	1026	*	247.60975	0.3750606	0.14534892	2.580415	9.868157e-03	1.573966e-01
chr11	73587502	73588376	875	*	327.28306	0.3438125	0.13324207	2.580360	9.869735e-03	1.573966e-01
chr1	154974223	154975008	786	*	99.64436	0.6725746	0.26067840	2.580093	9.877362e-03	1.573966e-01
chr1	38222043	38222654	612	*	31.18856	-0.9790079	0.37966182	-2.578632	9.919253e-03	1.579042e-01
chr15	48412918	48413675	758	*	54.19096	0.9139424	0.35450405	2.578087	9.934886e-03	1.580168e-01
chr11	78285474	78286730	1257	*	179.97989	0.4596886	0.17831169	2.578006	9.937236e-03	1.580168e-01
chr3	114343526	114344127	602	*	13.00592	-1.5374985	0.59674776	-2.576463	9.981689e-03	1.585052e-01
chr4	109092699	109093333	635	*	46.35798	1.7568570	0.68424388	2.567589	1.024085e-02	1.607005e-01
chr1	24969010	24970053	1044	*	215.94965	0.4318917	0.16835036	2.565434	1.030470e-02	1.613587e-01
chr8	126441485	126442750	1266	*	421.81915	-0.3501345	0.13654021	-2.564333	1.033743e-02	1.615716e-01
chr7	73588077	73589293	1217	*	150.06438	0.5467823	0.21338919	2.562371	1.039601e-02	1.619645e-01
chr17	21191114	21191501	388	*	101.48344	-0.6246314	0.24383241	-2.561724	1.041540e-02	1.620478e-01
chr11	64126156	64127056	901	*	34.69722	1.0552711	0.41231263	2.559396	1.048544e-02	1.626360e-01
chr1	201977157	201977586	430	*	19.75874	1.4838790	0.57999774	2.558422	1.051484e-02	1.628265e-01
chr6	27798480	27799523	1044	*	38.40561	-1.1222572	0.43888473	-2.557066	1.055592e-02	1.632595e-01
chr2	238395738	238396082	345	*	37.53688	0.9607969	0.37599369	2.555354	1.060799e-02	1.637628e-01
chrX	148620804	148622739	1936	*	376.15293	0.3096577	0.12137302	2.551290	1.073251e-02	1.649797e-01
chr7	38217453	38218421	969	*	286.62546	0.3551251	0.13923470	2.550550	1.075531e-02	1.650554e-01
chr3	47891415	47891899	485	*	14.13856	-1.6783977	0.65826539	-2.549728	1.078070e-02	1.653351e-01
chr2	241664942	241665558	617	*	13.14577	-1.5282109	0.59951409	-2.549082	1.080068e-02	1.655315e-01
chr12	104350489	104351542	1054	*	64.89384	0.7357237	0.28865601	2.548790	1.080972e-02	1.656152e-01
chr6	32131524	32132302	779	*	147.32186	0.4679605	0.18383985	2.545479	1.091279e-02	1.660970e-01
chr10	45476723	45477204	482	*	30.35080	-1.0076808	0.39589040	-2.545353	1.091673e-02	1.660970e-01
chrX	135055684	135056816	1133	*	53.07043	0.8661175	0.34048633	2.543766	1.096646e-02	1.665242e-01
chr7	134854967	134855829	863	*	280.74280	0.3659769	0.14390884	2.543116	1.098686e-02	1.667214e-01
chr11	70507898	70509190	1293	*	52.87603	-0.8053781	0.31671726	-2.542893	1.099389e-02	1.667214e-01
chr9	33523392	33524229	838	*	42.34481	-1.0258255	0.40359196	-2.541739	1.103025e-02	1.670975e-01
chr1	111742610	111743133	524	*	30.82119	1.6041908	0.63146853	2.540413	1.107217e-02	1.675199e-01
chr7	28219169	28220624	1456	*	48.40666	0.8690065	0.34242231	2.537821	1.115451e-02	1.681551e-01
chr11	22646709	22647669	961	*	120.25924	0.6002139	0.23651677	2.537722	1.115764e-02	1.681551e-01
chr8	143695765	143696542	778	*	75.62364	-0.7950479	0.31339241	-2.536909	1.118361e-02	1.684365e-01
chr11	59324659	59325261	603	*	33.44722	-1.4656487	0.57796427	-2.535881	1.121648e-02	1.688214e-01
chr2	85131968	85133430	1463	*	91.55365	0.6303383	0.24888141	2.532685	1.131925e-02	1.698015e-01
chr2	242088435	242090247	1813	*	160.75913	0.4541663	0.17949514	2.530243	1.139835e-02	1.705578e-01
chr6	30629563	30630163	601	*	45.50654	-0.8121256	0.32115856	-2.528737	1.144737e-02	1.710855e-01
chr20	277850	278244	395	*	96.20988	0.5767125	0.22817423	2.527510	1.148747e-02	1.714680e-01
chr19	58011076	58011568	493	*	52.39675	0.8040269	0.31814442	2.527239	1.149633e-02	1.714680e-01
chr1	61542458	61543868	1411	*	165.40111	0.4878354	0.19307274	2.526692	1.151423e-02	1.715793e-01
chr2	207308018	207309062	1045	*	41.31441	-0.8810984	0.34882122	-2.525931	1.153921e-02	1.718300e-01
chr17	8059571	8060432	862	*	270.25697	0.3554835	0.14075426	2.525561	1.155137e-02	1.718345e-01
chr15	25683286	25684624	1339	*	121.41214	0.5159493	0.20432466	2.525144	1.156507e-02	1.719378e-01
chr16	48418460	48419860	1401	*	97.08009	0.6543013	0.25946351	2.521747	1.167737e-02	1.728022e-01
chr21	47604169	47605070	902	*	730.49622	0.2328373	0.09233807	2.521574	1.168311e-02	1.728022e-01
chr20	44407391	44408416	1026	*	52.02010	-0.8112013	0.32197811	-2.519430	1.175450e-02	1.733029e-01
chr8	124553228	124554237	1010	*	109.86826	0.5451135	0.21668066	2.515746	1.187808e-02	1.745118e-01
chr10	75351027	75351278	252	*	35.35267	1.2288074	0.48848691	2.515538	1.188509e-02	1.745591e-01
chr2	73460169	73461891	1723	*	303.75016	0.3394871	0.13502453	2.514262	1.192817e-02	1.750806e-01
chr11	45693222	45693908	687	*	69.06956	0.8755672	0.34841111	2.513029	1.196995e-02	1.754705e-01
chr2	152829544	152830601	1058	*	99.77269	0.7076135	0.28188457	2.510295	1.206303e-02	1.763870e-01
chr2	10972314	10972861	548	*	29.70904	1.1206424	0.44644689	2.510136	1.206847e-02	1.764106e-01
chr8	29207991	29208825	835	*	104.22737	0.6561212	0.26185282	2.505687	1.222138e-02	1.771313e-01
chr7	121512770	121513894	1125	*	63.32025	-0.7434541	0.29701713	-2.503068	1.231219e-02	1.779034e-01
chr10	124913541	124914576	1036	*	271.48820	0.3734569	0.14923451	2.502483	1.233254e-02	1.779602e-01
chr10	123872101	123873093	993	*	66.71631	-0.8111570	0.32434424	-2.500914	1.238733e-02	1.783049e-01
chr1	165508503	165509735	1233	*	119.76881	-0.5206971	0.20849162	-2.497448	1.250906e-02	1.793860e-01
chr1	220267119	220268032	914	*	78.36225	0.7036658	0.28189370	2.496210	1.255283e-02	1.796787e-01
chr11	71158998	71159953	956	*	325.55438	0.3649869	0.14642950	2.492577	1.268197e-02	1.807425e-01
chr20	45317746	45318718	973	*	346.19560	0.3474194	0.13947794	2.490855	1.274360e-02	1.813409e-01
chr10	118898289	118898995	707	*	15.37959	1.7378048	0.69794241	2.489897	1.277801e-02	1.817186e-01
chr12	21809977	21811214	1238	*	182.45906	0.4187962	0.16828068	2.488677	1.282194e-02	1.820069e-01
chr14	71275807	71276876	1070	*	118.31502	0.5953443	0.23929243	2.487936	1.284867e-02	1.822106e-01
chr1	112162196	112163141	946	*	95.03765	0.5867864	0.23636582	2.482535	1.304512e-02	1.839021e-01
chr15	93443275	93443788	514	*	73.40893	0.7368586	0.29705703	2.480529	1.311875e-02	1.844682e-01
chr20	62370731	62372664	1934	*	187.40692	0.4403929	0.17766280	2.478813	1.318204e-02	1.850236e-01
chr15	39872053	39872925	873	*	16.91803	-1.3654613	0.55122887	-2.477122	1.324465e-02	1.854677e-01
chr20	44717278	44718795	1518	*	134.56977	0.4687140	0.18930463	2.475978	1.328719e-02	1.857295e-01
chr1	180600916	180601796	881	*	244.39051	0.3857868	0.15581540	2.475922	1.328925e-02	1.857295e-01
chr18	44135269	44135956	688	*	41.68981	-0.8958439	0.36233313	-2.472432	1.341974e-02	1.869288e-01
chr3	121468088	121468942	855	*	301.94671	0.3580935	0.14498676	2.469836	1.351752e-02	1.875865e-01
chr17	57183580	57184792	1213	*	199.64761	0.4489493	0.18209063	2.465527	1.368119e-02	1.888873e-01
chr10	38691390	38692394	1005	*	85.61113	0.6875043	0.27896731	2.464462	1.372191e-02	1.891403e-01
chr1	153894985	153896058	1074	*	257.48917	0.3746563	0.15212422	2.462832	1.378446e-02	1.896061e-01
chr2	133173668	133174366	699	*	17.11979	-1.3984769	0.56853144	-2.459806	1.390122e-02	1.907539e-01
chr1	236558227	236559196	970	*	24.55857	-1.1586137	0.47127713	-2.458455	1.395362e-02	1.909880e-01
chr14	35873029	35874252	1224	*	81.54057	0.6606678	0.26909068	2.455187	1.408115e-02	1.921981e-01
chr7	77427367	77428344	978	*	533.81833	0.2835921	0.11557387	2.453773	1.413661e-02	1.925918e-01
chr8	145133152	145134400	1249	*	277.39688	0.3493304	0.14240982	2.452993	1.416729e-02	1.928607e-01
chr7	38503333	38503973	641	*	26.15267	-1.0490218	0.42783211	-2.451947	1.420855e-02	1.930238e-01
chr1	26632814	26633483	670	*	73.57858	0.6940853	0.28374422	2.446165	1.443847e-02	1.951206e-01
chr2	112655379	112656653	1275	*	136.37924	0.5039391	0.20614471	2.444589	1.450172e-02	1.958766e-01
chr8	11659640	11660613	974	*	189.39892	0.4042313	0.16536040	2.444547	1.450340e-02	1.958766e-01
chr8	142137561	142138877	1317	*	251.54861	-0.3948298	0.16157295	-2.443663	1.453901e-02	1.961552e-01
chr7	98971787	98973349	1563	*	182.96792	0.4456233	0.18248346	2.441993	1.460644e-02	1.965458e-01
chr15	65407534	65408422	889	*	31.07661	-0.9955535	0.40770602	-2.441841	1.461256e-02	1.965458e-01
chr10	64563980	64565042	1063	*	95.02925	0.5503336	0.22551459	2.440346	1.467320e-02	1.970742e-01
chr19	16830294	16830890	597	*	37.59098	1.0129580	0.41511678	2.440176	1.468011e-02	1.971097e-01
chr1	117909244	117910248	1005	*	91.26627	0.6282955	0.25770880	2.438006	1.476854e-02	1.976582e-01
chr3	134786133	134786692	560	*	18.28592	1.7265675	0.70831083	2.437584	1.478576e-02	1.977231e-01
chr11	88910618	88911395	778	*	39.09717	1.0595032	0.43471253	2.437250	1.479944e-02	1.978339e-01
chr2	8821943	8822385	443	*	146.44432	0.5021918	0.20612216	2.436379	1.483512e-02	1.980117e-01
chr19	47291626	47292087	462	*	48.77179	0.8552411	0.35111774	2.435767	1.486024e-02	1.981170e-01
chr4	141348464	141349126	663	*	27.93663	-1.3451318	0.55237557	-2.435176	1.488454e-02	1.981170e-01
chr2	47402599	47404167	1569	*	117.74853	0.5250933	0.21563628	2.435088	1.488817e-02	1.981170e-01
chr18	32923890	32924740	851	*	108.77101	0.5362072	0.22030559	2.433925	1.493611e-02	1.984117e-01
chr1	92764073	92764989	917	*	135.92521	0.4810772	0.19767169	2.433718	1.494463e-02	1.984678e-01
chr20	32307811	32308534	724	*	201.39596	0.3716137	0.15271512	2.433378	1.495866e-02	1.985330e-01
chr5	146613677	146614950	1274	*	101.25309	0.6975711	0.28682208	2.432069	1.501284e-02	1.987959e-01
chr1	89458196	89458989	794	*	549.86086	0.2859729	0.11758981	2.431953	1.501766e-02	1.987959e-01
chr19	8578217	8579214	998	*	198.26322	0.4109386	0.16959899	2.423001	1.539287e-02	2.017161e-01
chr16	90112988	90113777	790	*	27.74008	1.1239520	0.46418927	2.421323	1.546415e-02	2.023046e-01
chr21	32931298	32931867	570	*	63.23940	0.7392565	0.30534020	2.421091	1.547399e-02	2.023046e-01
chr6	5003781	5004598	818	*	175.46005	0.4367342	0.18045132	2.420233	1.551057e-02	2.025104e-01
chr7	30323740	30324958	1219	*	289.30357	0.3959403	0.16360558	2.420091	1.551664e-02	2.025104e-01
chr12	9101952	9102926	975	*	286.56371	0.3495400	0.14453028	2.418455	1.558657e-02	2.030054e-01
chr2	96931469	96932348	880	*	284.06628	0.3772747	0.15606968	2.417348	1.563406e-02	2.033529e-01
chr12	26277643	26278310	668	*	84.29745	0.6230442	0.25780443	2.416732	1.566054e-02	2.035043e-01
chr7	104444542	104444911	370	*	32.03633	1.1257303	0.46583626	2.416579	1.566711e-02	2.035043e-01
chr7	82791566	82792524	959	*	194.51969	0.5263794	0.21783579	2.416404	1.567464e-02	2.035366e-01
chr2	190305551	190306605	1055	*	131.65956	0.5119942	0.21195514	2.415578	1.571025e-02	2.035407e-01
chr17	80188286	80190152	1867	*	197.06905	0.4330886	0.17936677	2.414542	1.575501e-02	2.038348e-01
chr13	39611849	39612702	854	*	112.83749	0.5123383	0.21225493	2.413788	1.578766e-02	2.040857e-01
chr9	74979427	74980972	1546	*	139.96744	0.4468418	0.18546654	2.409285	1.598379e-02	2.055866e-01
chr1	901520	902743	1224	*	48.40791	-0.7986650	0.33150804	-2.409187	1.598808e-02	2.055866e-01
chr2	234890866	234891589	724	*	30.21739	-0.8781129	0.36482691	-2.406930	1.608725e-02	2.063584e-01
chr2	217082045	217082633	589	*	12.61865	-1.9550099	0.81245206	-2.406308	1.611467e-02	2.065537e-01
chr3	112737502	112738743	1242	*	188.73737	0.4255537	0.17706951	2.403314	1.624722e-02	2.074677e-01
chr5	108084031	108085131	1101	*	377.57879	0.2907848	0.12100323	2.403116	1.625603e-02	2.074677e-01
chr20	34042543	34043664	1122	*	154.69814	0.5025037	0.20912277	2.402913	1.626507e-02	2.075258e-01
chr16	14013303	14014261	959	*	148.63529	0.4691738	0.19532102	2.402065	1.630282e-02	2.078350e-01
chr15	80444612	80445580	969	*	139.06271	0.4997421	0.20839253	2.398081	1.648124e-02	2.091401e-01
chr20	34541635	34543023	1389	*	227.91369	0.3788140	0.15820846	2.394398	1.664767e-02	2.105452e-01
chr19	17622126	17623246	1121	*	120.89759	0.5070818	0.21184958	2.393594	1.668422e-02	2.105692e-01
chr8	38385430	38386157	728	*	70.39035	-0.6292149	0.26298540	-2.392585	1.673015e-02	2.107040e-01
chr18	47339421	47340801	1381	*	59.28586	0.7488446	0.31301741	2.392342	1.674124e-02	2.107040e-01
chr17	81041333	81041929	597	*	21.37066	-1.1502812	0.48084324	-2.392217	1.674696e-02	2.107040e-01
chr20	30101899	30102827	929	*	65.21785	0.6776018	0.28335646	2.391341	1.678697e-02	2.110924e-01
chr19	50706366	50707124	759	*	140.35250	0.5006326	0.20938972	2.390913	1.680653e-02	2.111262e-01
chr20	42142554	42143536	983	*	414.24058	0.2726796	0.11419520	2.387837	1.694784e-02	2.123512e-01
chr6	26322235	26323407	1173	*	46.56407	-0.8979516	0.37609707	-2.387553	1.696096e-02	2.124124e-01
chr7	101272463	101273479	1017	*	180.07338	0.4862233	0.20383137	2.385419	1.705966e-02	2.131857e-01
chr3	72495719	72496634	916	*	347.54346	0.4025565	0.16886842	2.383847	1.713272e-02	2.134055e-01
chr1	77747497	77748274	778	*	16.26167	-1.5471713	0.64932353	-2.382743	1.718417e-02	2.137004e-01
chr1	32110010	32110978	969	*	113.09660	0.5648966	0.23784063	2.375106	1.754393e-02	2.166105e-01
chr13	37573318	37573953	636	*	41.60583	0.8660767	0.36473240	2.374554	1.757017e-02	2.167147e-01
chr9	102130399	102131470	1072	*	142.76483	0.5056560	0.21310442	2.372809	1.765341e-02	2.172183e-01
chr20	44454900	44455629	730	*	13.99164	-1.4718437	0.62060126	-2.371642	1.770926e-02	2.176504e-01
chr5	90679100	90679580	481	*	78.52404	0.6555645	0.27667923	2.369403	1.781683e-02	2.181593e-01
chr1	46598167	46599140	974	*	249.27118	0.3885984	0.16410389	2.368002	1.788442e-02	2.185810e-01
chr4	184242128	184242888	761	*	16.59981	1.6605022	0.70132471	2.367665	1.790072e-02	2.186428e-01
chr17	75277121	75277694	574	*	18.12811	1.5910335	0.67233231	2.366439	1.796013e-02	2.190521e-01
chr1	153599429	153601051	1623	*	261.52225	0.3725216	0.15782918	2.360283	1.826099e-02	2.204403e-01
chr17	39844675	39845976	1302	*	168.78286	0.4181291	0.17719372	2.359729	1.828831e-02	2.206921e-01
chr1	117210036	117210704	669	*	75.10947	0.6704213	0.28431057	2.358060	1.837074e-02	2.213425e-01
chr1	43232471	43233229	759	*	229.98933	0.4035337	0.17117309	2.357460	1.840045e-02	2.214867e-01
chr9	127703058	127704107	1050	*	68.53665	0.6791451	0.28824071	2.356173	1.846430e-02	2.218920e-01
chr1	173830101	173832185	2085	*	94.65746	-0.8554801	0.36428975	-2.348351	1.885676e-02	2.246943e-01
chr19	17447672	17448419	748	*	85.97556	0.5957325	0.25380629	2.347193	1.891543e-02	2.248822e-01
chrX	107018886	107019463	578	*	35.41736	1.0723451	0.45704853	2.346239	1.896395e-02	2.251551e-01
chr21	40554940	40556074	1135	*	209.68554	0.3935436	0.16799021	2.342658	1.914694e-02	2.268055e-01
chr10	129845546	129846108	563	*	75.96185	0.7300005	0.31170415	2.341966	1.918247e-02	2.271595e-01
chr7	134604069	134605080	1012	*	13.41528	-1.4740667	0.62967415	-2.340999	1.923221e-02	2.275478e-01
chr18	43677793	43678753	961	*	43.04300	0.8348890	0.35688856	2.339355	1.931707e-02	2.282351e-01
chr17	63051778	63053318	1541	*	137.73005	0.4722107	0.20186918	2.339192	1.932550e-02	2.282613e-01
chr3	42773673	42774209	537	*	86.51556	0.6168274	0.26370052	2.339121	1.932918e-02	2.282613e-01
chr3	42623088	42624016	929	*	89.97018	0.6083804	0.26018577	2.338254	1.937408e-02	2.284409e-01
chr3	48506768	48508013	1246	*	259.35637	-0.3272097	0.13994502	-2.338130	1.938049e-02	2.284582e-01
chr1	36395928	36397181	1254	*	127.96891	0.4794904	0.20514959	2.337272	1.942504e-02	2.287497e-01
chr1	206557786	206558205	420	*	48.49886	-0.8776160	0.37579250	-2.335374	1.952390e-02	2.294456e-01
chr4	100009418	100010467	1050	*	81.34297	0.6357677	0.27228467	2.334937	1.954669e-02	2.296549e-01
chr11	43701901	43702667	767	*	249.15368	0.3740376	0.16025686	2.333988	1.959636e-02	2.301478e-01
chr12	53688969	53689561	593	*	60.65149	0.7252894	0.31118579	2.330728	1.976772e-02	2.314272e-01
chr1	148247386	148248360	975	*	169.07628	-0.5427752	0.23288830	-2.330625	1.977316e-02	2.314323e-01
chr11	72353358	72354854	1497	*	82.86998	-0.6267772	0.26895305	-2.330434	1.978325e-02	2.314916e-01
chr19	10981373	10982334	962	*	101.89272	0.6210685	0.26689913	2.326978	1.996642e-02	2.326745e-01
chr6	43457024	43457366	343	*	20.10532	-1.1905128	0.51289402	-2.321167	2.027782e-02	2.346027e-01
chr11	76777275	76778520	1246	*	273.39103	0.3573306	0.15396779	2.320814	2.029687e-02	2.346341e-01
chr1	31190752	31192191	1440	*	405.43708	0.2594304	0.11178779	2.320740	2.030087e-02	2.346341e-01
chr3	60842069	60842578	510	*	64.85002	1.0905258	0.46999899	2.320273	2.032613e-02	2.347610e-01
chr21	42837826	42838665	840	*	87.50938	0.6755858	0.29118430	2.320131	2.033377e-02	2.347610e-01
chr2	61763712	61764244	533	*	125.41186	0.4904821	0.21144140	2.319707	2.035674e-02	2.347610e-01
chr15	74488486	74488920	435	*	28.10195	-1.0399329	0.44871379	-2.317586	2.047181e-02	2.354540e-01
chr11	104034595	104035248	654	*	40.69456	1.0149320	0.43798179	2.317293	2.048779e-02	2.354540e-01
chrX	148606952	148607362	411	*	19.91913	-1.5821517	0.68284833	-2.316988	2.050436e-02	2.354540e-01
chr3	186288056	186288702	647	*	268.28386	0.3113688	0.13439099	2.316888	2.050986e-02	2.354540e-01
chr2	203879145	203879909	765	*	155.45720	0.4227694	0.18251222	2.316389	2.053702e-02	2.354540e-01
chr11	73693813	73694650	838	*	42.93903	-0.8843859	0.38191643	-2.315653	2.057722e-02	2.356017e-01
chr2	65356801	65357878	1078	*	421.91231	0.2872033	0.12406724	2.314900	2.061839e-02	2.356017e-01
chr2	202718923	202719525	603	*	23.20962	-1.0883582	0.47018704	-2.314735	2.062746e-02	2.356017e-01
chrX	50557045	50558064	1020	*	138.45282	0.4808163	0.20797065	2.311943	2.078082e-02	2.367434e-01
chr3	167452353	167453601	1249	*	354.07955	0.3396172	0.14692713	2.311467	2.080707e-02	2.369255e-01
chr2	121224189	121224678	490	*	19.45061	-1.2125587	0.52461377	-2.311336	2.081430e-02	2.369494e-01
chr5	16741947	16742700	754	*	101.01683	-0.5671278	0.24577630	-2.307496	2.102718e-02	2.383970e-01
chr8	72268793	72269372	580	*	22.66089	1.3492290	0.58488196	2.306840	2.106376e-02	2.386123e-01
chr1	156095956	156096430	475	*	109.56772	-0.5821409	0.25257901	-2.304787	2.117849e-02	2.396180e-01
chr14	59104267	59105800	1534	*	22.76084	-1.0519878	0.45663665	-2.303774	2.123531e-02	2.398748e-01
chrX	119005036	119006234	1199	*	39.37004	0.9256167	0.40178966	2.303734	2.123756e-02	2.398748e-01
chr12	52403941	52404483	543	*	114.76905	0.4703418	0.20428512	2.302379	2.131381e-02	2.403615e-01
chr2	39347321	39348534	1214	*	122.41537	0.4888060	0.21235961	2.301784	2.134734e-02	2.405262e-01
chr1	11119753	11120617	865	*	148.72832	0.4305271	0.18707495	2.301362	2.137120e-02	2.407363e-01
chr10	31320489	31321737	1249	*	72.72345	0.6320487	0.27470352	2.300840	2.140070e-02	2.408144e-01
chr12	85306160	85307183	1024	*	89.62262	0.6203456	0.26990231	2.298408	2.153858e-02	2.416781e-01
chr12	31881611	31882388	778	*	263.64438	0.3483692	0.15165650	2.297094	2.161343e-02	2.420776e-01
chr3	31573420	31574574	1155	*	189.27697	0.3803848	0.16567834	2.295923	2.168026e-02	2.422681e-01
chr16	73125959	73126788	830	*	220.99906	0.3660623	0.15947432	2.295431	2.170842e-02	2.422720e-01
chr5	140090258	140091078	821	*	45.84281	-0.8787700	0.38285447	-2.295311	2.171531e-02	2.422720e-01
chr1	117451762	117453249	1488	*	46.54839	0.7948325	0.34639619	2.294576	2.175742e-02	2.424248e-01
chr1	110933356	110933898	543	*	49.06109	0.8284957	0.36131306	2.293014	2.184723e-02	2.430976e-01
chr7	32534665	32535645	981	*	190.35432	0.4093224	0.17855654	2.292396	2.188278e-02	2.432846e-01
chr5	148737194	148737951	758	*	104.07679	0.5287185	0.23090134	2.289803	2.203275e-02	2.441284e-01
chr13	46038753	46039687	935	*	114.01487	0.5253495	0.22970771	2.287035	2.219380e-02	2.450821e-01
chr2	110371187	110372309	1123	*	371.53268	0.2797737	0.12253355	2.283242	2.241612e-02	2.463904e-01
chr20	30945464	30946783	1320	*	253.20200	0.3423656	0.14998531	2.282661	2.245034e-02	2.465563e-01
chr2	97405426	97406117	692	*	86.23956	0.5521254	0.24193247	2.282147	2.248068e-02	2.467316e-01
chr1	114447143	114448062	920	*	323.82748	0.3153119	0.13824059	2.280893	2.255480e-02	2.473090e-01
chr16	89556789	89557604	816	*	186.91859	0.4136551	0.18139674	2.280389	2.258465e-02	2.475196e-01
chr1	109289017	109290154	1138	*	174.87322	0.3995763	0.17532322	2.279084	2.266208e-02	2.479562e-01
chr3	125238670	125239389	720	*	111.44514	0.5032043	0.22099102	2.277035	2.278412e-02	2.484670e-01
chr17	57784580	57785444	865	*	321.69943	0.2936562	0.12907602	2.275064	2.290208e-02	2.493998e-01
chr3	42845358	42846336	979	*	99.91029	0.5525697	0.24294279	2.274485	2.293684e-02	2.494842e-01
chr7	89840838	89841430	593	*	42.82392	-0.8291693	0.36468685	-2.273647	2.298719e-02	2.498363e-01
chr7	50628610	50629016	407	*	13.34083	-1.3790337	0.60706182	-2.271653	2.310749e-02	2.502663e-01
chr20	39765469	39766752	1284	*	125.33218	0.4802266	0.21140995	2.271542	2.311417e-02	2.502663e-01
chr18	47807656	47808314	659	*	82.73124	0.5591640	0.24618561	2.271310	2.312819e-02	2.502681e-01
chr7	66056779	66057739	961	*	96.68181	0.5707856	0.25133275	2.271035	2.314483e-02	2.503894e-01
chr21	27106635	27108226	1592	*	212.79280	0.3964922	0.17465441	2.270153	2.319831e-02	2.505569e-01
chr4	155471148	155471904	757	*	55.14738	0.7675969	0.33819382	2.269695	2.322609e-02	2.506966e-01
chr3	152552435	152553352	918	*	48.54915	-0.9180940	0.40478771	-2.268088	2.332386e-02	2.508287e-01
chr15	42696494	42697339	846	*	162.61663	0.4157466	0.18339133	2.266992	2.339074e-02	2.512831e-01
chr6	30853718	30854437	720	*	126.84322	0.5721301	0.25256168	2.265308	2.349377e-02	2.519209e-01
chr2	25264563	25265655	1093	*	178.28718	0.3851137	0.17003351	2.264928	2.351709e-02	2.519670e-01
chrX	23799486	23799902	417	*	40.04529	-0.9381761	0.41467423	-2.262441	2.367016e-02	2.528724e-01
chr20	54933755	54935303	1549	*	240.36909	0.3671204	0.16233775	2.261461	2.373075e-02	2.532388e-01
chr3	11313754	11314427	674	*	31.43161	0.9604830	0.42509809	2.259438	2.385613e-02	2.542120e-01
chr14	64970158	64972129	1972	*	206.22294	-0.3541951	0.15679077	-2.259030	2.388150e-02	2.543853e-01
chr5	162864214	162865159	946	*	215.59798	0.3636410	0.16119832	2.255861	2.407933e-02	2.552940e-01
chr2	27294042	27295041	1000	*	116.20112	0.4540057	0.20148569	2.253290	2.424088e-02	2.561830e-01
chr6	106773237	106773835	599	*	69.43126	0.6933472	0.30800020	2.251126	2.437757e-02	2.571567e-01
chr7	73081793	73082471	679	*	65.92941	0.6505962	0.28915108	2.250022	2.444756e-02	2.576006e-01
chr4	148605026	148605792	767	*	99.58301	0.5933856	0.26386229	2.248846	2.452230e-02	2.581258e-01
chr6	2901081	2901702	622	*	37.33121	-0.8437293	0.37523522	-2.248534	2.454213e-02	2.581258e-01
chr19	2016012	2016492	481	*	13.09448	1.5726627	0.69952918	2.248173	2.456515e-02	2.581815e-01
chr3	127842398	127843072	675	*	245.72962	0.3759260	0.16724280	2.247786	2.458986e-02	2.583208e-01
chr14	53417264	53418567	1304	*	113.70972	0.4737691	0.21077792	2.247717	2.459425e-02	2.583208e-01
